ts	pid	rss_kb	vsz_kb
01:20:43	1909	151120	435340048
01:20:43	1904	1632	435300896
01:20:44	1906	1248	435300048
01:20:44	1909	151120	435340048
01:20:44	1904	1632	435300896
01:20:45	1906	1248	435300048
01:20:45	1909	151120	435340048
01:20:45	1904	1632	435300896
01:20:46	1906	1248	435300048
01:20:46	1909	151120	435340048
01:20:46	1904	1632	435300896
01:20:47	1906	1248	435300048
01:20:47	1909	151120	435340048
01:20:47	1904	1632	435300896
01:20:48	1906	1248	435300048
01:20:48	1909	151120	435340048
01:20:48	1904	1632	435300896
01:20:49	1906	1248	435300048
01:20:49	1909	151120	435340048
01:20:49	1904	1632	435300896
01:20:50	1906	1248	435300048
01:20:50	1909	151120	435340048
01:20:50	1904	1632	435300896
01:20:51	1906	1248	435300048
01:20:51	1909	151120	435340048
01:20:51	1904	1632	435300896
01:20:52	1906	1248	435300048
01:20:52	1909	151120	435340048
01:20:52	1904	1632	435300896
01:20:53	1906	1248	435300048
01:20:53	1909	151120	435340048
01:20:53	1904	1632	435300896
01:20:54	1906	1248	435300048
01:20:54	1909	151120	435340048
01:20:54	1904	1632	435300896
01:20:55	1906	1248	435300048
01:20:55	1909	151120	435340048
01:20:55	1904	1632	435300896
01:20:56	1906	1248	435300048
01:20:56	1909	151120	435340048
01:20:56	1904	1632	435300896
01:20:57	1906	1248	435300048
01:20:57	1909	151120	435340048
01:20:57	1904	1632	435300896
01:20:58	1906	1248	435300048
01:20:58	1909	151120	435340048
01:20:58	1904	1632	435300896
01:21:00	1906	1248	435300048
01:21:00	1909	151120	435340048
01:21:00	1904	1632	435300896
01:21:01	1906	1248	435300048
01:21:01	1909	151120	435340048
01:21:01	1904	1632	435300896
01:21:02	1906	1248	435300048
01:21:02	1909	151120	435340048
01:21:02	1904	1632	435300896
01:21:03	1906	1248	435300048
01:21:03	1909	151120	435340048
01:21:03	1904	1632	435300896
01:21:04	1906	1248	435300048
01:21:04	1909	151120	435340048
01:21:04	1904	1632	435300896
01:21:05	1906	1248	435300048
01:21:05	1909	151120	435340048
01:21:05	1904	1632	435300896
01:21:06	1906	1248	435300048
01:21:06	1909	151120	435340048
01:21:06	1904	1632	435300896
01:21:07	1906	1248	435300048
01:21:07	1909	151120	435340048
01:21:07	1904	1632	435300896
01:21:08	1906	1248	435300048
01:21:08	1909	151120	435340048
01:21:08	1904	1632	435300896
01:21:09	1906	1248	435300048
01:21:09	1909	151120	435340048
01:21:09	1904	1632	435300896
01:21:10	1906	1248	435300048
01:21:10	1909	151120	435340048
01:21:10	1904	1632	435300896
01:21:11	1906	1248	435300048
01:21:11	1909	151120	435340048
01:21:11	1904	1632	435300896
01:21:12	1906	1248	435300048
01:21:12	1909	151120	435340048
01:21:12	1904	1632	435300896
01:21:13	1906	1248	435300048
01:21:13	1909	151120	435340048
01:21:13	1904	1632	435300896
01:21:14	1906	1248	435300048
01:21:14	1909	151120	435340048
01:21:14	1904	1632	435300896
01:21:15	1906	1248	435300048
01:21:15	1909	151120	435340048
01:21:15	1904	1632	435300896
01:21:16	1906	1248	435300048
01:21:16	1909	151120	435340048
01:21:16	1904	1632	435300896
01:21:17	1906	1248	435300048
01:21:17	1909	151120	435340048
01:21:17	1904	1632	435300896
01:21:18	1906	1248	435300048
01:21:18	1909	151120	435340048
01:21:18	1904	1632	435300896
01:21:19	1906	1248	435300048
01:21:19	1909	151120	435340048
01:21:19	1904	1632	435300896
01:21:20	1906	1248	435300048
01:21:20	1909	151120	435340048
01:21:20	1904	1632	435300896
01:21:21	1906	1248	435300048
01:21:21	1909	151120	435340048
01:21:21	1904	1632	435300896
01:21:22	1906	1248	435300048
01:21:22	1909	151120	435340048
01:21:22	1904	1632	435300896
01:21:23	1906	1248	435300048
01:21:23	1909	151120	435340048
01:21:23	1904	1632	435300896
01:21:24	1906	1248	435300048
01:21:24	1909	151120	435340048
01:21:24	1904	1632	435300896
01:21:25	1906	1248	435300048
01:21:25	1909	151120	435340048
01:21:25	1904	1632	435300896
01:21:27	1906	1248	435300048
01:21:27	1909	151120	435340048
01:21:27	1904	1632	435300896
01:21:28	1906	1248	435300048
01:21:28	1909	151120	435340048
01:21:28	1904	1632	435300896
01:21:29	1906	1248	435300048
01:21:29	1909	151120	435340048
01:21:29	1904	1632	435300896
01:21:30	1906	1248	435300048
01:21:30	1909	151120	435340048
01:21:30	1904	1632	435300896
01:21:31	1906	1248	435300048
01:21:31	1909	151120	435340048
01:21:31	1904	1632	435300896
01:21:32	1906	1248	435300048
01:21:32	1909	151120	435340048
01:21:32	1904	1632	435300896
01:21:33	1906	1248	435300048
01:21:33	1909	151120	435340048
01:21:33	1904	1632	435300896
01:21:34	1906	1248	435300048
01:21:34	1909	151120	435340048
01:21:34	1904	1632	435300896
01:21:35	1906	1248	435300048
01:21:35	1909	151120	435340048
01:21:35	1904	1632	435300896
01:21:36	1906	1248	435300048
01:21:36	1909	151120	435340048
01:21:36	1904	1632	435300896
01:21:37	1906	1248	435300048
01:21:37	1909	151120	435340048
01:21:37	1904	1632	435300896
01:21:38	1906	1248	435300048
01:21:38	1909	151120	435340048
01:21:38	1904	1632	435300896
01:21:39	1906	1248	435300048
01:21:39	1909	151120	435340048
01:21:39	1904	1632	435300896
01:21:40	1906	1248	435300048
01:21:40	1909	151120	435340048
01:21:40	1904	1632	435300896
01:21:41	1906	1248	435300048
01:21:41	1909	151120	435340048
01:21:41	1904	1632	435300896
01:21:42	1906	1248	435300048
01:21:42	1909	151120	435340048
01:21:42	1904	1632	435300896
01:21:43	1906	1248	435300048
01:21:43	1909	151120	435340048
01:21:43	1904	1632	435300896
01:21:44	1906	1248	435300048
01:21:44	1909	151120	435340048
01:21:44	1904	1632	435300896
01:21:45	1906	1248	435300048
01:21:45	1909	151120	435340048
01:21:45	1904	1632	435300896
01:21:46	1906	1248	435300048
01:21:46	1909	151120	435340048
01:21:46	1904	1632	435300896
01:21:47	1906	1248	435300048
01:21:47	1909	151120	435340048
01:21:47	1904	1632	435300896
01:21:48	1906	1248	435300048
01:21:48	1909	151120	435340048
01:21:48	1904	1632	435300896
01:21:49	1906	1248	435300048
01:21:49	1909	151120	435340048
01:21:49	1904	1632	435300896
01:21:50	1906	1248	435300048
01:21:50	1909	151120	435340048
01:21:50	1904	1632	435300896
01:21:51	1906	1248	435300048
01:21:51	1909	151120	435340048
01:21:51	1904	1632	435300896
01:21:52	1906	1248	435300048
01:21:52	1909	151120	435340048
01:21:52	1904	1632	435300896
01:21:54	1906	1248	435300048
01:21:54	1909	151120	435340048
01:21:54	1904	1632	435300896
01:21:55	1906	1248	435300048
01:21:55	1909	151120	435340048
01:21:55	1904	1632	435300896
01:21:56	1906	1248	435300048
01:21:56	1909	151120	435340048
01:21:56	1904	1632	435300896
01:21:57	1906	1248	435300048
01:21:57	1909	151120	435340048
01:21:57	1904	1632	435300896
01:21:58	1906	1248	435300048
01:21:58	1909	151120	435340048
01:21:58	1904	1632	435300896
01:21:59	1906	1248	435300048
01:21:59	1909	151120	435340048
01:21:59	1904	1632	435300896
01:22:00	1906	1248	435300048
01:22:00	1909	151120	435340048
01:22:00	1904	1632	435300896
01:22:01	1906	1248	435300048
01:22:01	1909	151120	435340048
01:22:01	1904	1632	435300896
01:22:02	1906	1248	435300048
01:22:02	1909	151120	435340048
01:22:02	1904	1632	435300896
01:22:03	1906	1248	435300048
01:22:03	1909	151120	435340048
01:22:03	1904	1632	435300896
01:22:04	1906	1248	435300048
01:22:04	1909	151120	435340048
01:22:04	1904	1632	435300896
01:22:05	1906	1248	435300048
01:22:05	1909	151120	435340048
01:22:05	1904	1632	435300896
01:22:06	1906	1248	435300048
01:22:06	1909	151120	435340048
01:22:06	1904	1632	435300896
01:22:07	1906	1248	435300048
01:22:07	1909	151120	435340048
01:22:07	1904	1632	435300896
01:22:08	1906	1248	435300048
01:22:08	1909	151120	435340048
01:22:08	1904	1632	435300896
01:22:09	1906	1248	435300048
01:22:09	1909	151120	435340048
01:22:09	1904	1632	435300896
01:22:10	1906	1248	435300048
01:22:10	1909	151120	435340048
01:22:10	1904	1632	435300896
01:22:11	1906	1248	435300048
01:22:11	1909	151120	435340048
01:22:11	1904	1632	435300896
01:22:12	1906	1248	435300048
01:22:12	1909	151120	435340048
01:22:12	1904	1632	435300896
01:22:13	1906	1248	435300048
01:22:13	1909	151120	435340048
01:22:13	1904	1632	435300896
01:22:14	1906	1248	435300048
01:22:14	1909	151120	435340048
01:22:14	1904	1632	435300896
01:22:15	1906	1248	435300048
01:22:15	1909	151120	435340048
01:22:15	1904	1632	435300896
01:22:16	1906	1248	435300048
01:22:16	1909	151120	435340048
01:22:16	1904	1632	435300896
01:22:17	1906	1248	435300048
01:22:17	1909	151120	435340048
01:22:17	1904	1632	435300896
01:22:18	1906	1248	435300048
01:22:18	1909	151120	435340048
01:22:18	1904	1632	435300896
01:22:19	1906	1248	435300048
01:22:19	1909	151120	435340048
01:22:19	1904	1632	435300896
01:22:20	1906	1248	435300048
01:22:20	1909	151120	435340048
01:22:20	1904	1632	435300896
01:22:22	1906	1248	435300048
01:22:22	1909	151120	435340048
01:22:22	1904	1632	435300896
01:22:23	1906	1248	435300048
01:22:23	1909	151120	435340048
01:22:23	1904	1632	435300896
01:22:24	1906	1248	435300048
01:22:24	1909	151120	435340048
01:22:24	1904	1632	435300896
01:22:25	1906	1248	435300048
01:22:25	1909	151120	435340048
01:22:25	1904	1632	435300896
01:22:26	1906	1248	435300048
01:22:26	1909	151120	435340048
01:22:26	1904	1632	435300896
01:22:27	1906	1248	435300048
01:22:27	1909	151120	435340048
01:22:27	1904	1632	435300896
01:22:28	1906	1248	435300048
01:22:28	1909	151120	435340048
01:22:28	1904	1632	435300896
01:22:29	1906	1248	435300048
01:22:29	1909	151120	435340048
01:22:29	1904	1632	435300896
01:22:30	1906	1248	435300048
01:22:30	1909	151120	435340048
01:22:30	1904	1632	435300896
01:22:31	1906	1248	435300048
01:22:31	1909	151120	435340048
01:22:31	1904	1632	435300896
01:22:32	1906	1248	435300048
01:22:32	1909	151120	435340048
01:22:32	1904	1632	435300896
01:22:33	1906	1248	435300048
01:22:33	1909	151120	435340048
01:22:33	1904	1632	435300896
01:22:34	1906	1248	435300048
01:22:34	1909	151120	435340048
01:22:34	1904	1632	435300896
01:22:35	1906	1248	435300048
01:22:35	1909	151120	435340048
01:22:35	1904	1632	435300896
01:22:36	1906	1248	435300048
01:22:36	1909	151120	435340048
01:22:36	1904	1632	435300896
01:22:37	1906	1248	435300048
01:22:37	1909	151120	435340048
01:22:37	1904	1632	435300896
01:22:38	1906	1248	435300048
01:22:38	1909	151120	435340048
01:22:38	1904	1632	435300896
01:22:39	1906	1248	435300048
01:22:39	1909	151120	435340048
01:22:39	1904	1632	435300896
01:22:40	1906	1248	435300048
01:22:40	1909	151120	435340048
01:22:40	1904	1632	435300896
01:22:41	1906	1248	435300048
01:22:41	1909	151120	435340048
01:22:41	1904	1632	435300896
01:22:42	1906	1248	435300048
01:22:42	1909	151120	435340048
01:22:42	1904	1632	435300896
01:22:43	1906	1248	435300048
01:22:43	1909	151120	435340048
01:22:43	1904	1632	435300896
01:22:44	1906	1248	435300048
01:22:44	1909	151120	435340048
01:22:44	1904	1632	435300896
01:22:45	1906	1248	435300048
01:22:45	1909	151120	435340048
01:22:45	1904	1632	435300896
01:22:46	1906	1248	435300048
01:22:46	1909	151120	435340048
01:22:46	1904	1632	435300896
01:22:47	1906	1248	435300048
01:22:47	1909	151120	435340048
01:22:47	1904	1632	435300896
01:22:49	1906	1248	435300048
01:22:49	1909	151120	435340048
01:22:49	1904	1632	435300896
01:22:50	1906	1248	435300048
01:22:50	1909	151120	435340048
01:22:50	1904	1632	435300896
01:22:51	1906	1248	435300048
01:22:51	1909	151120	435340048
01:22:51	1904	1632	435300896
01:22:52	1906	1248	435300048
01:22:52	1909	32	410150608
01:22:52	1904	1632	435300896
01:22:53	1906	1248	435300048
01:22:53	1909	18912	436620944
01:22:53	1904	1632	435300896
01:22:54	1906	1248	435300048
01:22:54	1909	18912	436620944
01:22:54	1904	1632	435300896
01:22:55	1906	1248	435300048
01:22:55	1909	18912	436620944
01:22:55	1904	1632	435300896
01:22:56	1906	1248	435300048
01:22:56	1909	18912	436620944
01:22:56	1904	1632	435300896
01:22:57	1906	1248	435300048
01:22:57	1909	18912	436620944
01:22:57	1904	1632	435300896
01:22:58	1906	1248	435300048
01:22:58	1909	18912	436620944
01:22:58	1904	1632	435300896
01:22:59	1906	1248	435300048
01:22:59	1909	18912	436620944
01:22:59	1904	1632	435300896
01:23:00	1906	1248	435300048
01:23:00	1909	18928	436620944
01:23:00	1904	1632	435300896
01:23:01	1906	1248	435300048
01:23:01	1909	18928	436620944
01:23:01	1904	1632	435300896
01:23:02	1906	1248	435300048
01:23:02	1909	19184	436620944
01:23:02	1904	1632	435300896
01:23:03	1906	1248	435300048
01:23:03	1909	19216	436620944
01:23:03	1904	1632	435300896
01:23:04	1906	1248	435300048
01:23:04	1909	19728	436620944
01:23:04	1904	1632	435300896
01:23:05	1906	1248	435300048
01:23:05	1909	19776	436620944
01:23:05	1904	1632	435300896
01:23:06	1906	1248	435300048
01:23:06	1909	19824	436620944
01:23:06	1904	1632	435300896
01:23:07	1906	1248	435300048
01:23:07	1909	19872	436620944
01:23:07	1904	1632	435300896
01:23:08	1906	1248	435300048
01:23:08	1909	19920	436620944
01:23:08	1904	1632	435300896
01:23:09	1906	1248	435300048
01:23:09	1909	19952	436620944
01:23:09	1904	1632	435300896
01:23:10	1906	1248	435300048
01:23:10	1909	20544	436620944
01:23:10	1904	1632	435300896
01:23:11	1906	1248	435300048
01:23:11	1909	20592	436620944
01:23:11	1904	1632	435300896
01:23:12	1906	1248	435300048
01:23:12	1909	20640	436620944
01:23:12	1904	1632	435300896
01:23:13	1906	1248	435300048
01:23:13	1909	20688	436620944
01:23:13	1904	1632	435300896
01:23:14	1906	1248	435300048
01:23:14	1909	20736	436620944
01:23:14	1904	1632	435300896
01:23:16	1906	1248	435300048
01:23:16	1909	20832	436620944
01:23:16	1904	1632	435300896
01:23:17	1906	1248	435300048
01:23:17	1909	21568	436620944
01:23:17	1904	1632	435300896
01:23:18	1906	1248	435300048
01:23:18	1909	86896	436660800
01:23:18	1904	1632	435300896
01:23:19	1906	1248	435300048
01:23:19	1909	1624976	438120944
01:23:19	1904	1632	435300896
01:23:20	1906	1248	435300048
01:23:20	1909	1624976	438120944
01:23:20	1904	1632	435300896
01:23:21	1906	1248	435300048
01:23:21	1909	2968704	439414336
01:23:21	1904	1632	435300896
01:23:22	1906	1248	435300048
01:23:22	1909	2968704	439414336
01:23:22	1904	1632	435300896
01:23:23	1906	1248	435300048
01:23:23	1909	3711232	440109872
01:23:23	1904	1632	435300896
01:23:24	1906	1248	435300048
01:23:24	1909	4382416	440765232
01:23:24	1904	1632	435300896
01:23:25	1906	1248	435300048
01:23:25	1909	4400720	440765232
01:23:25	1904	1632	435300896
01:23:26	1906	1248	435300048
01:23:26	1909	5852480	442063568
01:23:26	1904	1632	435300896
01:23:27	1906	1248	435300048
01:23:27	1909	5852480	442063568
01:23:27	1904	1632	435300896
01:23:28	1906	1248	435300048
01:23:28	1909	7053392	443299200
01:23:28	1904	1632	435300896
01:23:29	1906	1248	435300048
01:23:29	1909	7053392	443299200
01:23:29	1904	1632	435300896
01:23:30	1906	1248	435300048
01:23:30	1909	7571536	443796528
01:23:30	1904	1632	435300896
01:23:31	1906	1248	435300048
01:23:31	1909	7603968	443808768
01:23:31	1904	1632	435300896
01:23:32	1906	1248	435300048
01:23:32	1909	7607760	443812304
01:23:32	1904	1632	435300896
01:23:33	1906	1248	435300048
01:23:33	1909	7607760	443812304
01:23:33	1904	1632	435300896
01:23:34	1906	1248	435300048
01:23:34	1909	7812784	444103584
01:23:34	1904	1632	435300896
01:23:35	1906	1248	435300048
01:23:35	1909	10894560	460101328
01:23:35	1904	1632	435300896
01:23:36	1906	1248	435300048
01:23:36	1909	9584160	462018624
01:23:36	1904	1648	435300896
01:23:38	1906	496	435300048
01:23:38	1909	10755024	462742864
01:23:38	1904	800	435300896
01:23:39	1906	496	435300048
01:23:39	1909	11397408	462742864
01:23:39	1904	768	435300896
01:23:40	1906	496	435300048
01:23:40	1909	10325024	462762816
01:23:40	1904	768	435300896
01:23:41	1906	496	435300048
01:23:41	1909	6936640	460822032
01:23:41	1904	768	435300896
01:23:42	1906	496	435300048
01:23:42	1909	7957632	461499600
01:23:42	1904	768	435300896
01:23:43	1906	496	435300048
01:23:43	1909	7826688	461645680
01:23:43	1904	768	435300896
01:23:44	1906	496	435300048
01:23:44	1909	7381168	461649776
01:23:44	1904	768	435300896
01:23:45	1906	496	435300048
01:23:45	1909	5856880	461100144
01:23:45	1904	640	435300896
01:23:46	1906	496	435300048
01:23:46	1909	5258224	462745136
01:23:46	1904	624	435300896
01:23:47	1906	496	435300048
01:23:47	1909	5538112	466895872
01:23:47	1904	640	435300896
01:23:48	1906	496	435300048
01:23:48	1909	5410656	468517888
01:23:48	1904	640	435300896
01:23:49	1906	496	435300048
01:23:49	1909	5649920	468317168
01:23:49	1904	640	435300896
01:23:50	1906	480	435300048
01:23:50	1909	5068640	468350432
01:23:50	1904	640	435300896
01:23:52	1906	480	435300048
01:23:52	1909	5402768	472475008
01:23:52	1904	640	435300896
01:23:53	1906	480	435300048
01:23:53	1909	5081232	473572736
01:23:53	1904	640	435300896
01:23:54	1906	480	435300048
01:23:54	1909	4866576	476702080
01:23:54	1904	640	435300896
01:23:55	1906	480	435300048
01:23:55	1909	5251056	479815040
01:23:55	1904	640	435300896
01:23:56	1906	480	435300048
01:23:56	1909	5409456	480880000
01:23:56	1904	640	435300896
01:23:57	1906	464	435300048
01:23:57	1909	5199952	482895232
01:23:57	1904	640	435300896
01:23:58	1906	464	435300048
01:23:58	1909	5685664	483927936
01:23:58	1904	640	435300896
01:23:59	1906	464	435300048
01:23:59	1909	5556176	485238656
01:23:59	1904	640	435300896
01:24:00	1906	464	435300048
01:24:00	1909	5724272	485259136
01:24:00	1904	640	435300896
01:24:01	1906	464	435300048
01:24:01	1909	5543520	485255040
01:24:01	1904	640	435300896
01:24:02	1906	464	435300048
01:24:02	1909	5203808	485271424
01:24:02	1904	640	435300896
01:24:03	1906	464	435300048
01:24:03	1909	5420912	485271424
01:24:03	1904	640	435300896
01:24:04	1906	464	435300048
01:24:04	1909	5488944	485271424
01:24:04	1904	640	435300896
01:24:05	1906	464	435300048
01:24:05	1909	5316640	485271424
01:24:05	1904	640	435300896
01:24:06	1906	464	435300048
01:24:06	1909	5382752	485271424
01:24:06	1904	640	435300896
01:24:07	1906	464	435300048
01:24:07	1909	5486576	485271424
01:24:07	1904	640	435300896
01:24:08	1906	464	435300048
01:24:08	1909	5489424	485271424
01:24:08	1904	640	435300896
01:24:10	1906	464	435300048
01:24:10	1909	5485664	485271424
01:24:10	1904	640	435300896
01:24:11	1906	464	435300048
01:24:11	1909	5505136	485271424
01:24:11	1904	640	435300896
01:24:12	1906	464	435300048
01:24:12	1909	5678800	485271424
01:24:12	1904	640	435300896
01:24:13	1906	464	435300048
01:24:13	1909	5735072	485271424
01:24:13	1904	640	435300896
01:24:14	1906	464	435300048
01:24:14	1909	5303328	485271424
01:24:14	1904	640	435300896
01:24:15	1906	464	435300048
01:24:15	1909	5301872	485271424
01:24:15	1904	640	435300896
01:24:16	1906	464	435300048
01:24:16	1909	5276672	485271424
01:24:16	1904	640	435300896
01:24:17	1906	464	435300048
01:24:17	1909	5265008	485271424
01:24:17	1904	640	435300896
01:24:18	1906	464	435300048
01:24:18	1909	5249488	485271424
01:24:18	1904	640	435300896
01:24:19	1906	464	435300048
01:24:19	1909	5306480	485271424
01:24:19	1904	640	435300896
01:24:20	1906	464	435300048
01:24:20	1909	5377584	485271424
01:24:20	1904	640	435300896
01:24:21	1906	464	435300048
01:24:21	1909	5404704	485271424
01:24:21	1904	640	435300896
01:24:22	1906	464	435300048
01:24:22	1909	5423616	485271424
01:24:22	1904	640	435300896
01:24:23	1906	464	435300048
01:24:23	1909	5409904	485271424
01:24:23	1904	640	435300896
01:24:24	1906	464	435300048
01:24:24	1909	5555696	485271424
01:24:24	1904	640	435300896
01:24:25	1906	448	435300048
01:24:25	1909	3893776	485271424
01:24:25	1904	624	435300896
01:24:26	1906	464	435300048
01:24:26	1909	4294128	486532992
01:24:26	1904	640	435300896
01:24:27	1906	464	435300048
01:24:27	1909	4927952	486532992
01:24:27	1904	640	435300896
01:24:28	1906	464	435300048
01:24:28	1909	5084496	486532992
01:24:28	1904	640	435300896
01:24:29	1906	464	435300048
01:24:29	1909	5340448	486532992
01:24:29	1904	640	435300896
01:24:30	1906	464	435300048
01:24:30	1909	5571968	486532992
01:24:30	1904	640	435300896
01:24:31	1906	464	435300048
01:24:31	1909	5682272	486532992
01:24:31	1904	640	435300896
01:24:32	1906	464	435300048
01:24:32	1909	5864304	486532992
01:24:32	1904	640	435300896
01:24:34	1906	464	435300048
01:24:34	1909	5731168	486532992
01:24:34	1904	640	435300896
01:24:35	1906	464	435300048
01:24:35	1909	5736064	486532992
01:24:35	1904	640	435300896
01:24:36	1906	464	435300048
01:24:36	1909	5734784	486532992
01:24:36	1904	640	435300896
01:24:37	1906	464	435300048
01:24:37	1909	5834832	486532992
01:24:37	1904	640	435300896
01:24:38	1906	464	435300048
01:24:38	1909	5837696	486532992
01:24:38	1904	640	435300896
01:24:39	1906	464	435300048
01:24:39	1909	5907120	486532992
01:24:39	1904	640	435300896
01:24:40	1906	464	435300048
01:24:40	1909	5922832	486532992
01:24:40	1904	640	435300896
01:24:41	1906	464	435300048
01:24:41	1909	5892640	486532992
01:24:41	1904	640	435300896
01:24:42	1906	464	435300048
01:24:42	1909	5905680	486532992
01:24:42	1904	640	435300896
01:24:43	1906	464	435300048
01:24:43	1909	5228464	486532992
01:24:43	1904	640	435300896
01:24:44	1906	464	435300048
01:24:44	1909	5475328	486532992
01:24:44	1904	640	435300896
01:24:45	1906	464	435300048
01:24:45	1909	5324848	486532992
01:24:45	1904	640	435300896
01:24:46	1906	464	435300048
01:24:46	1909	5411440	486532992
01:24:46	1904	640	435300896
01:24:47	1906	464	435300048
01:24:47	1909	5620256	486532992
01:24:47	1904	640	435300896
01:24:48	1906	464	435300048
01:24:48	1909	5336896	486532992
01:24:48	1904	640	435300896
01:24:49	1906	464	435300048
01:24:49	1909	5423008	486532992
01:24:49	1904	640	435300896
01:24:50	1906	464	435300048
01:24:50	1909	5436144	486532992
01:24:50	1904	640	435300896
01:24:51	1906	464	435300048
01:24:51	1909	5462064	486532992
01:24:51	1904	640	435300896
01:24:52	1906	464	435300048
01:24:52	1909	5466592	486532992
01:24:52	1904	640	435300896
01:24:53	1906	464	435300048
01:24:53	1909	5705136	486532992
01:24:53	1904	640	435300896
01:24:54	1906	464	435300048
01:24:54	1909	5232976	486778752
01:24:54	1904	640	435300896
01:24:55	1906	464	435300048
01:24:55	1909	5445120	486778752
01:24:55	1904	640	435300896
01:24:56	1906	464	435300048
01:24:56	1909	5500128	486778752
01:24:56	1904	640	435300896
01:24:57	1906	464	435300048
01:24:57	1909	5516848	486778752
01:24:57	1904	640	435300896
01:24:58	1906	464	435300048
01:24:58	1909	5477488	486778752
01:24:58	1904	640	435300896
01:25:00	1906	464	435300048
01:25:00	1909	5499888	486778752
01:25:00	1904	640	435300896
01:25:01	1906	464	435300048
01:25:01	1909	5485760	486778752
01:25:01	1904	640	435300896
01:25:02	1906	464	435300048
01:25:02	1909	5527056	486778752
01:25:02	1904	640	435300896
01:25:03	1906	464	435300048
01:25:03	1909	5496432	486778752
01:25:03	1904	640	435300896
01:25:04	1906	464	435300048
01:25:04	1909	5529728	486778752
01:25:04	1904	640	435300896
01:25:05	1906	464	435300048
01:25:05	1909	5525200	486778752
01:25:05	1904	640	435300896
01:25:06	1906	464	435300048
01:25:06	1909	5496848	486778752
01:25:06	1904	640	435300896
01:25:07	1906	464	435300048
01:25:07	1909	5522144	486778752
01:25:07	1904	640	435300896
01:25:08	1906	464	435300048
01:25:08	1909	5529504	486778752
01:25:08	1904	640	435300896
01:25:09	1906	464	435300048
01:25:09	1909	5534800	486778752
01:25:09	1904	640	435300896
01:25:10	1906	464	435300048
01:25:10	1909	5540432	486778752
01:25:10	1904	640	435300896
01:25:11	1906	464	435300048
01:25:11	1909	5700736	486778752
01:25:11	1904	640	435300896
01:25:12	1906	464	435300048
01:25:12	1909	5861984	486778752
01:25:12	1904	640	435300896
01:25:13	1906	464	435300048
01:25:13	1909	5613568	486778752
01:25:13	1904	640	435300896
01:25:14	1906	464	435300048
